id,title,author,length,difficulty,rating,tags
34134,Harry Potter and the Philosopher's Drone,jbranch1998,2,5,3.72,contest entry;fantasy;romance;socially important
49850,The Exploits of Fail-Man,RoyalGhost_007,6,4,4.66,contest entry;drama;humor;modern;serious;superhero
51067,Duo,Digit,3,6,4.42,contest entry;dating;dystopia;post-apocalyptic
44543,Airport Nightmare,MsGwinn,4,3,4.56,fantasy;modern;romance
54559,The Maize Runner,jodithewitch,2,2,3.8,contest entry;humor
56451,The Climate Lobby,Enviromentum,3,4,3.24,edutainment
43683,Interactive Women's March to Versailles: Bread or Vengeance?,isabelsamarias20,2,2,3.34,edutainment;historical
60383,A Zombie Night,Kristen00,2,2,3.55,female protagonist;horror;zombie
36617,HOW NOT TO WRITE- A Pokemon Adventure - Part 1 - Chapter I - Section A: The Beginning of the Start,Will11,2,8,6.21,cyoa movie;edutainment;post-apocalyptic;previously featured;socially important
16905,Seraph Serenade,Vics321,2,2,5.28,dating;drama;romance;serious
41698,American Outlaws: The James Gang,Will11,6,5,6.82,based off a true story;edutainment;historical;western
6272,A Crazy Dimension Called Life,Kazbar,3,6,4.09,humor;modern
29085,Goodbye.,luna1o1,2,2,3.55,dating;drama
45304,In The Deep Of Night,TheWriterInTheDark,4,3,5.37,animal perspective;contest entry;horror;serious
21621,The Life Of A Bull Terrier,fantaspray1,2,2,3.2,animal perspective;based off a true story;family-friendly;humor
10103,Orpheus,dracortez,2,2,5.58,dating;previously featured;serious
61807,One Tiny but Mighty Pilchangk Adventure,SKOL,3,3,4.35,action adventure;humor;science fiction;scifi
66623,"The Pure, the Vile and the Deadly",EndMaster,7,8,7.72,fantasy;female protagonist;grimdark;villain protagonist;war
39017,Marvel Universe: Fallen,Xanaktor,2,6,3.21,
8097,Love SICK,EndMaster,3,2,5.61,edgelord;horror;humor;romance;villain protagonist
59372,The Perfect Mother's Day,Bendy,2,6,3.49,female protagonist;humor;modern;puzzle
46270,Break and Enter,rjvictoria,2,3,3.55,edutainment;socially important
353,Ghostly Mystery,slawek,2,3,3.82,mystery;serious;thriller
42208,Hard Night,Chris113022,2,3,4.75,action adventure;drama;humor;superhero
43993,Warped,Steve24833,7,3,6.13,dystopia;grimdark;science fiction
11906,[email protected]  Out,gragh46,6,5,4.54,modern
59980,The Daemonologists,pugpup1,6,6,6.24,contest entry;dating;fantasy;historical;romance
33462,Mercenary Queen (Part 3): The Hemlock Band,Drydenhouse,4,5,4.55,fantasy;serious
9361,Missing in Action,lisaves,3,3,4.06,based off a true story;modern;serious
106,Chess Master Stan!,imthechessking,2,4,4.15,fantasy;humor
17839,Culloden Moor,AdamMacKay,2,1,3.89,edutainment;historical;humor;serious;war
23324,Where the HELL am I???? : Chapter One,MultipleMinds,2,6,3.91,horror
25454,The Spartan Life,citizen9100,2,2,3.5,science fiction;war
31696,Achilles II: The Chykri,Chase223,6,4,6.88,science fiction;scifi;war
7393,Ground Zero,EndMaster,7,8,6.89,post-apocalyptic;scifi;serious;war
18496,Sacrifice,Bethius,2,1,4.51,fantasy;serious
26469,Short-cut,snarkysorbet,2,6,3.43,horror;humor
6033,The Javan Rhinoceros,primates,1,4,3.67,edutainment;humor
45893,The Wasteland Chronicles: The Story of Aether Frost,Alexthethug,3,6,4.41,dystopia;post-apocalyptic;science fiction;scifi;war
43664,Dusty Fist,Chris113022,2,3,5.18,humor;post-apocalyptic;scifi;western
